state_code,g2018_evip_start_date,g2018_evip_close_date,g2018_vbm_application_deadline,g2018_ballot_return_date,notes
AL,,,2018-11-01,2018-11-05,
AK,2018-10-22,2018-11-06,2018-10-26,2018-11-06,
AZ,2018-10-11,2018-11-02,2018-10-26,2018-11-06,
AR,2018-10-22,2018-11-05,2018-10-30,2018-11-06,
CA,2018-10-08,2018-11-05,2018-10-30,2018-11-06,Dates vary by county
CO,2018-10-22,2018-11-06,2018-10-30,2018-11-06,
CT,,,2018-10-08,2018-11-06,
DE,,,2018-11-02,2018-11-05,
FL,2018-10-27,2018-11-03,2018-10-31,2018-11-06,Dates vary by county
GA,2018-10-15,2018-11-03,2018-11-02,2018-11-06,Dates vary by county
HI,2018-10-23,2018-11-03,2018-10-30,2018-11-06,
ID,2018-10-07,2018-11-02,2018-10-31,2018-11-06,In-person absentee voting.
IL,2018-10-22,2018-11-05,2018-11-01,2018-11-05,
IN,2018-10-08,2018-11-05,2018-10-29,2018-11-06,In-person absentee voting.
IA,2018-09-27,2018-11-05,2018-11-02,2018-11-05,In-person absentee voting.
KS,2018-10-17,2018-11-05,2018-10-30,2018-11-06,Dates vary by county
KY,2018-10-19,2018-11-05,2018-10-30,2018-11-06,Dates vary by county
LA,2018-11-24,2018-12-01,2018-12-04,2018-12-07,
ME,2018-11-01,2018-11-06,2018-11-01,2018-11-06,In-person absentee voting.
MD,2018-10-25,2018-11-01,2018-10-30,2018-11-06,
MA,,,2018-10-07,2018-11-06,
MI,,,2018-11-03,2018-11-05,
MN,2018-09-21,2018-11-05,2018-10-07,2018-11-06,In-person absentee voting.
MS,,,2018-10-07,2018-11-06,
MO,,,2018-10-31,2018-11-06,
MT,2018-10-07,2018-11-05,2018-11-05,2018-11-06,In-person absentee voting.
NE,2018-10-02,2018-11-06,2018-10-31,2018-11-06,
NV,2018-10-20,2018-11-02,2018-10-30,2018-11-06,
NH,,,2018-10-07,2018-11-06,Early voting in person and by mail dates vary by town/municipality
NJ,,,2018-10-30,2018-11-06,In-person absentee voting.
NM,2018-10-09,2018-11-03,2018-11-02,2018-11-06,
NY,,,2018-10-30,2018-11-05,
NC,2018-10-18,2018-11-03,2018-10-30,2018-11-06,
ND,,,2018-10-07,2018-11-06,Dates vary by county
OH,2018-10-10,2018-11-05,2018-11-03,2018-11-06,In-person absentee voting.
OK,2018-11-01,2018-11-03,2018-10-31,2018-11-06,In-person absentee voting.
OR,,,2018-10-07,2018-11-06,
PA,,,2018-10-30,2017-11-02,
RI,,,2018-10-16,2018-11-06,
SC,,,2018-11-02,2018-11-06,
SD,2018-09-21,2018-11-05,2018-11-02,2018-11-05,In-person absentee voting; varies by county
TN,2018-10-17,2018-11-01,2018-10-30,2018-11-06,
TX,2018-10-22,2018-11-02,2018-10-26,2018-11-06,
UT,2018-10-23,2018-11-02,2018-11-01,2018-11-05,In-person absentee voting.
VT,2018-09-22,2018-11-06,2018-11-05,2018-11-06,In-person absentee voting.
VA,2018-09-22,2018-11-03,2018-10-30,2018-11-06,In-person absentee voting.
WA,,,,2018-11-06,Washington votes by mail exclusively.
WV,2018-10-24,2018-11-03,2018-10-31,2018-11-06,
WI,,2018-11-02,2018-11-01,2018-11-06,In-person absentee voting; various by town/municipality
WY,2018-09-27,2018-11-05,2018-10-07,2018-11-06,In-person absentee voting.
AS,,,,,
DC,2018-10-26,2018-11-02,2018-10-30,2018-11-06,
FM,,,,,
GU,,,,,
MH,,,,,
MP,,,,,
PW,,,,,
PR,,,,,
VI,,,,,
