state_code,p2018_federal_election_date,p2018_runoff_federal_election_date,p2018_federal_dem_election_type,p2018_federal_rep_election_type,notes
AL,2018-06-05,2018-07-17,open,open,
AK,2018-08-21,,open,closed,
AZ,2018-08-28,,open,open,
AR,2018-05-22,2018-06-19,open,open,
CA,2018-06-05,,jungle,jungle,
CO,2018-06-26,,semi-closed,semi-closed,
CT,2018-08-14,,semi-closed,semi-closed,
DE,2018-09-06,,closed,closed,
FL,2018-08-28,,closed,closed,
GA,2018-05-22,2018-07-24,open,open,
HI,2018-08-11,,open,open,
ID,2018-05-15,,,,
IL,2018-03-20,,open,open,
IN,2018-05-08,,open,open,
IA,2018-06-05,,semi-open,semi-open,
KS,2018-08-07,,semi-closed,semi-closed,
KY,2018-05-22,,closed,closed,
LA,2018-11-06,,jungle,jungle,
ME,2018-06-12,,closed,closed,
MD,2018-06-26,,closed,closed,
MA,2018-09-18,,semi-closed,semi-closed,
MI,2018-08-07,,open,open,
MN,2018-08-14,,open,open,
MS,2018-06-05,2018-06-26,open,open,
MO,2018-08-07,,open,open,
MT,2018-06-05,,open,open,
NE,2018-05-15,,closed,closed,
NV,2018-06-12,,closed,closed,
NH,2018-09-11,,semi-closed,semi-closed,
NJ,2018-06-05,,semi-closed,semi-closed,
NM,2018-06-05,,closed,closed,
NY,2018-06-28,,closed,closed,
NC,2018-05-08,2018-07-17,semi-closed,semi-closed,
ND,2018-06-12,,open,open,
OH,2018-05-08,,open,open,
OK,2018-06-26,2018-08-28,,closed,
OR,2018-05-15,,closed,closed,
PA,2018-05-15,,closed,closed,
RI,2018-09-11,,semi-closed,semi-closed,
SC,2018-06-12,2018-06-26,open,open,
SD,2018-06-05,2018-08-14,,closed,
TN,2018-08-02,,semi-open,semi-open,
TX,2018-03-06,2018-05-22,open,open,
UT,2018-06-26,,semi-closed,semi-closed,
VT,2018-08-14,,open,open,
VA,2018-06-12,,open,open,
WA,2018-08-07,,,,
WV,2018-05-08,,semi-closed,semi-closed,
WI,2018-08-14,,open,open,
WY,2018-08-21,,semi-open,semi-open,
AS,,,,,
DC,2018-06-19,,closed,closed,
FM,,,,,
GU,,,,,
MH,,,,,
MP,,,,,
PW,,,,,
PR,,,,,
VI,2018-08-04,,,,
