state_code,p2018_federal_evip_start_date,p2018_federal_evip_close_date,p2018_federal_vbm_application_deadline,p2018_federal_ballot_return_date,notes
AL,,,2018-05-31,2018-06-04,
AK,2018-08-06,2018-08-20,2018-08-11,2018-08-21,
AZ,2018-08-02,2018-08-24,2018-08-17,2018-08-28,
AR,2018-05-09,2018-05-21,2018-04-06,2018-05-22,
CA,2018-05-05,2018-06-04,2018-05-29,2018-06-05,Dates vary by county
CO,2018-06-19,2018-06-26,2018-06-19,2018-06-26,
CT,,,2018-07-14,2018-08-14,
DE,,,2018-09-07,2018-09-11,
FL,2018-08-18,2018-08-25,2018-08-22,2018-08-28,Dates vary by county
GA,2018-04-30,2018-05-21,2018-05-18,2018-05-22,Dates vary by county
HI,2018-07-24,2018-08-04,2018-08-02,2018-08-11,
ID,2018-04-30,2018-05-11,2018-05-09,2018-05-15,In-person absentee voting.
IL,2018-03-05,2018-03-17,2018-03-19,2018-03-19,
IN,2018-03-06,2018-04-06,2018-04-30,2018-05-07,In-person absentee voting.
IA,2018-04-30,2018-06-04,2018-06-01,2018-06-04,In-person absentee voting.
KS,2018-07-18,2018-08-06,2018-07-31,2018-08-07,Dates vary by county
KY,2018-05-10,2018-05-21,2018-05-15,2018-05-22,Dates vary by county
LA,2018-10-23,2018-10-30,2018-11-02,2018-11-05,
ME,2018-05-12,2018-06-11,2018-06-07,2018-06-12,In-person absentee voting.
MD,2018-06-16,2018-06-21,2018-06-19,2018-06-26,
MA,2018-08-21,2018-08-31,2018-09-03,2018-09-04,
MI,,,2018-08-04,2018-08-07,
MN,2018-06-29,2018-08-13,2018-07-16,2018-08-14,In-person absentee voting.
MS,,,2018-05-06,2018-06-04,
MO,2018-06-26,2018-08-06,2018-08-01,2018-08-07,
MT,2018-05-05,2018-06-04,2018-06-04,2018-06-05,In-person absentee voting.
NE,2018-04-10,2018-05-14,2018-05-09,2018-05-15,
NV,2018-05-26,2018-06-08,2018-06-05,2018-06-12,
NH,,,2018-08-13,2018-09-11,Early voting in person and by mail dates vary by town/municipality
NJ,,,2018-05-29,2018-06-05,In-person absentee voting.
NM,2018-05-08,2018-06-02,2018-06-01,2018-06-05,
NY,,,2018-06-25,2018-06-25,
NC,2018-04-19,2018-05-05,2018-05-01,2018-05-07,
ND,,,2018-05-11,2018-06-11,Dates vary by county
OH,2018-04-10,2018-05-07,2018-05-05,2018-05-08,In-person absentee voting.
OK,2018-06-21,2018-06-23,2018-06-20,2018-06-26,In-person absentee voting.
OR,,,2018-03-08,2018-05-15,
PA,,,2018-05-08,2018-05-11,
RI,,,2018-08-21,2018-09-11,
SC,,,2018-06-08,2018-06-11,
SD,2018-04-20,2018-06-04,2018-06-01,2018-06-05,In-person absentee voting; varies by county
TN,2018-07-13,2018-07-27,2018-07-26,2018-08-02,
TX,2018-02-19,2018-03-02,2018-02-23,2018-03-06,
UT,2018-06-12,2018-06-22,2018-06-21,2018-06-25,In-person absentee voting.
VT,2018-07-02,2018-08-13,2018-08-13,2018-08-14,In-person absentee voting.
VA,2018-04-28,2018-06-08,2018-06-05,2018-06-12,In-person absentee voting.
WA,,,,2018-08-07,Washington votes by mail exclusively.
WV,2018-04-25,2018-05-05,2018-05-02,2018-05-08,
WI,2018-06-28,2018-08-12,2018-08-09,2018-08-14,In-person absentee voting; various by town/municipality
WY,2018-07-12,2018-08-21,2018-07-23,2018-08-21,In-person absentee voting.
AS,,,,,
DC,,,,,
FM,,,,,
GU,,,,,
MH,,,,,
MP,,,,,
PW,,,,,
PR,,,,,
VI,,,,,
