state_code,p2018_federal_vr_deadline,p2018_federal_online_vr_deadline,p2018_federal_runoff_vr_deadline,p2018_federal_runoff_online_vr_deadline,notes
AL,2018-05-21,,,,
AK,2018-07-22,,,,
AZ,2018-07-30,,,,
AR,,,,,
CA,2018-05-21,,,,
CO,2018-06-18,,,,
CT,2018-08-09,,,,
DE,2018-08-11,,,,Voters living overseas have until 10/22/2018 to register to vote.
FL,2018-07-30,,,,
GA,2018-04-24,,,,
HI,2018-07-12,,,,
ID,2018-04-20,,,,
IL,2018-02-20,2018-03-04,,,"Voters in Illinois can register to vote on any day, including Election Day"
IN,2018-04-09,2018-04-09,,,
IA,2018-05-25,,,,
KS,2018-07-12,,,,"Kansas still has 2016 information on their website, so this is our best guess at the moment."
KY,2018-04-23,,,,
LA,2018-10-09,2018-10-16,,,Online voter registration deadline is 10/16/2018
ME,,,,,
MD,2018-06-05,,,,
MA,,,,,
MI,2018-07-09,,,,
MN,2018-07-24,,,,
MS,2018-05-07,,,,10/9/2018 is the deadline to register to vote by mail
MO,2018-07-11,,,,
MT,2018-05-07,,,,"Regular voter registration closes at 5 p.m. on 5/7/2018.
Individuals can late-register at the county election office beginning the next day and through close of polls on election day."
NE,2018-04-30,2018-04-30,,,
NV,2018-05-14,2018-05-24,,,In-person deadline is 10/16/2018; online voter registration deadline is 10/18/2018
NH,,,,,
NJ,2018-05-15,,,,
NM,2018-05-08,,,,
NY,2018-06-01,,,,
NC,2018-04-13,,,,
ND,,,,,Voters do not register in North Dakota
OH,2018-04-09,,,,
OK,2018-06-01,,,,
OR,2018-04-24,,,,
PA,,,,,
RI,,,,,
SC,2018-05-11,2018-05-13,,,
SD,2018-05-21,,,,
TN,2018-07-03,,,,
TX,2018-02-05,,,,
UT,2018-05-29,,,,
VT,,,,,"Voters in Vermont can register to vote on any day, including Election Day"
VA,,,,,
WA,2018-07-30,2018-07-09,,,
WV,,,,,
WI,2018-07-25,2018-07-25,,,
WY,,,,,
AS,,,,,
DC,2018-06-19,2018-05-29,,,On Election Day qualified electors may register to vote and cast full ballots at the polling places for their precincts of residence
FM,,,,,
GU,,,,,
MH,,,,,
MP,,,,,
PW,,,,,
PR,,,,,
VI,,,,,
