state_code,district_type,district,special_g2018_state_election_date,special_g2018_state_runoff_election_date,notes
MN,upper,54,2/12/2018,,
MN,lower,23B,2/12/2018,,
FL,lower,72,2/13/2018,,
GA,lower,175,2/13/2018,,
OK,upper,27,2/13/2018,,
LA,lower,86,3/24/2018,,
KY,lower,49,2/20/2018,,
MS,lower,60,2/20/2018,,
CT,lower,120,2/27/2018,,
KY,lower,89,2/27/2018,,
NH,lower,Belknap 3,2/27/2018,,
MA,upper,3rd Essex,3/6/2018,,
OK,lower,51,3/6/2018,,
TN,upper,14,3/13/2018,,
LA,lower,93,4/28/2018,,
AL,lower,21,3/27/2018,,
MA,upper,2nd Bristol,4/3/2018,,
FL,upper,31,4/10/2018,,
FL,lower,39,5/1/2018,,
FL,lower,114,5/1/2018,,
MA,upper,1st Suffolk,5/1/2018,,
SC,lower,69,5/1/2018,,
AL,lower,4,5/15/2018,,
AL,upper,26,5/15/2018,,
PA,lower,48,5/15/2018,,
PA,lower,178,5/15/2018,,
AR,upper,16,5/22/2018,,
AR,upper,29,5/22/2018,,
AR,lower,83,5/22/2018,,
CA,lower,39,6/5/2018,,
CA,lower,45,6/5/2018,,
CA,lower,54,6/5/2018,,
