state_code,state_name,is_state,total_cong_districts,senate_election_2018,senate_elected_2018_incumbent_party,senate_open_seat_2018,governor_election_2018,current_governor_party,governor_open_seat_2018,automatic_vr,online_vr,same_day_vr,eday_vr,early_vote_in_person,in_person_absentee,early_vote_by_mail,early_vote_by_mail_fault,perm_absentee,election_calendar_url,eastern_tz_flag,central_tz_flag,mountain_tz_flag,pacific_tz_flag,alaska_tz_flag,hawaiian_tz_flag,notes
AL,Alabama,yes,7,no,,no,yes,republican,no,no,yes,no,no,no,no,yes,yes,no,http://sos.alabama.gov/sites/default/files/voter-pdfs/2018/2018AdministrativeCalendar.pdf,yes,yes,no,no,no,no,
AK,Alaska,yes,1,no,,no,yes,other,no,yes,yes,no,no,yes,no,yes,no,no,http://elections.alaska.gov/Core/electiondatesandhours.php,no,no,no,no,yes,no,
AZ,Arizona,yes,9,yes,republican,yes,yes,republican,no,no,yes,no,no,yes,no,yes,no,yes,https://www.azsos.gov/elections/elections-calendar-upcoming-events,no,no,yes,no,no,no,
AR,Arkansas,yes,4,no,,no,yes,republican,no,no,no,no,no,yes,no,yes,yes,no,https://www.sos.arkansas.gov/uploads/elections/2018ElectionCalendar.pdf,no,yes,no,no,no,no,
CA,California,yes,53,yes,democrat,no,yes,democrat,yes,yes,yes,yes,yes,yes,no,yes,no,yes,http://www.sos.ca.gov/elections/upcoming-elections/,no,no,no,yes,no,no,
CO,Colorado,yes,7,no,,no,yes,democrat,yes,yes,yes,yes,yes,yes,no,yes,no,yes,https://www.sos.state.co.us/pubs/elections/calendars/2018ElectionCalendar.pdf,no,no,yes,no,no,no,
CT,Connecticut,yes,5,yes,democrat,no,yes,democrat,yes,yes,yes,no,yes,no,no,yes,yes,no,http://portal.ct.gov/SOTS/Election-Services/Calendars/Election-Calendars,yes,no,no,no,no,no,
DE,Delaware,yes,1,yes,democrat,no,no,democrat,no,no,yes,no,no,no,no,yes,yes,no,https://elections.delaware.gov/calendar/2018ElectionCalendar.pdf,yes,no,no,no,no,no,
FL,Florida,yes,27,yes,democrat,no,yes,republican,yes,no,yes,no,no,yes,no,yes,no,no,http://dos.myflorida.com/elections/for-voters/election-dates/,yes,yes,no,no,no,no,
GA,Georgia,yes,14,no,,no,yes,republican,yes,yes,yes,no,no,yes,no,yes,no,no,http://sos.ga.gov/index.php/elections/2018_elections_and_voter_registration_calendar,yes,no,no,no,no,no,
HI,Hawaii,yes,2,yes,democrat,no,yes,democrat,no,no,yes,yes,yes,yes,no,yes,no,yes,http://elections.hawaii.gov/about-us/calendar/action~agenda/request_format~html/,no,no,no,no,no,yes,
