unique_id,geoid,state_code,chamber,district,party,first_name,last_name,president_or_speaker,president_or_speaker_pro_tempore,majority_leader,minority_leader,next_election
AKupperA,0200A,AK,upper,A,R,Pete,Kelly,1,0,0,0,11/6/18
AKupperB,0200B,AK,upper,B,R,John,Coghill,0,0,0,0,11/3/20
AKupperC,0200C,AK,upper,C,R,Click,Bishop,0,0,0,0,11/6/18
AKupperD,0200D,AK,upper,D,R,David,Wilson,0,0,0,0,11/3/20
AKupperE,0200E,AK,upper,E,R,Mike,Dunleavy,0,0,0,0,11/6/18
AKupperF,0200F,AK,upper,F,R,Shelley,Hughes,0,0,0,0,11/3/20
AKupperG,0200G,AK,upper,G,R,Anna,MacKinnon,0,0,0,0,11/6/18
AKupperH,0200H,AK,upper,H,D,Bill,Wielechowski,0,0,0,0,11/3/20
AKupperI,0200I,AK,upper,I,D,Berta,Gardner,0,0,0,1,11/6/18
AKupperJ,0200J,AK,upper,J,D,Tom,Begich,0,0,0,0,11/3/20
AKupperK,0200K,AK,upper,K,R,Mia,Costello,0,0,0,0,11/6/18
AKupperL,0200L,AK,upper,L,R,Natasha,von Imhof,0,0,0,0,11/3/20
AKupperM,0200M,AK,upper,M,R,Kevin,Meyer,0,0,0,0,11/6/18
AKupperN,0200N,AK,upper,N,R,Cathy,Giessel,0,0,0,0,11/3/20
AKupperO,0200O,AK,upper,O,R,Peter,Micciche,0,0,1,0,11/6/18
AKupperP,0200P,AK,upper,P,R,Gary,Stevens,0,0,0,0,11/3/20
AKupperQ,0200Q,AK,upper,Q,D,Dennis,Egan,0,0,0,0,11/6/18
AKupperR,0200R,AK,upper,R,R,Bert,Stedman,0,0,0,0,11/3/20
AKupperS,0200S,AK,upper,S,D,Lyman,Hoffman,0,0,0,0,11/6/18
AKupperT,0200T,AK,upper,T,D,Donny,Olson,0,0,0,0,11/3/20
ALupper1,1001,AL,upper,1,R,Tim,Melson,0,0,0,0,11/6/18
ALupper2,1002,AL,upper,2,R,Bill,Holtzclaw,0,0,0,0,11/6/18
ALupper3,1003,AL,upper,3,R,Arthur,Orr,0,0,0,0,11/6/18
ALupper4,1004,AL,upper,4,R,Paul,Bussman,0,0,0,0,11/6/18
ALupper5,1005,AL,upper,5,R,Greg,Reed,0,0,1,0,11/6/18
ALupper6,1006,AL,upper,6,R,Larry,Stutts,0,0,0,0,11/6/18
ALupper7,1007,AL,upper,7,R,Paul,Sanford,0,0,0,0,11/6/18
ALupper8,1008,AL,upper,8,R,Steve,Livingston,0,0,0,0,11/6/18
ALupper9,1009,AL,upper,9,R,Clay,Scofield,0,0,0,0,11/6/18
ALupper10,1010,AL,upper,10,R,Phil,Williams,0,0,0,0,11/6/18
ALupper11,1011,AL,upper,11,R,Jim,McClendon,0,0,0,0,11/6/18
ALupper12,1012,AL,upper,12,R,Del,Marsh,0,1,0,0,11/6/18
