state_code,office,party,first_name,last_name,next_election
AL,attorney general,R,Steve,Marshall,11/6/18
AR,attorney general,R,Leslie,Rutledge,11/6/18
AZ,attorney general,R,Mark,Brnovich,11/6/18
CA,attorney general,D,Xavier,Becerra,11/6/18
CO,attorney general,R,Cynthia,Coffman,11/6/18
CT,attorney general,D,George,Jepsen,11/6/18
DE,attorney general,D,Matthew,Denn,11/6/18
FL,attorney general,R,Pam,Bondi,11/6/18
GA,attorney general,R,Chris,Carr,11/6/18
IA,attorney general,D,Tom,Miller,11/6/18
ID,attorney general,R,Lawrence,Wasden,11/6/18
IL,attorney general,D,Lisa,Madigan,11/6/18
IN,attorney general,R,Curtis,Hill Jr.,11/3/20
KS,attorney general,R,Derek,Schmidt,11/6/18
KY,attorney general,D,Andy,Beshear,11/3/20
LA,attorney general,R,Jeff,Landry,10/12/19
MA,attorney general,D,Maura,Healey,11/6/18
MD,attorney general,D,Brian,Frosh,11/6/18
MI,attorney general,R,Bill,Schuette,11/6/18
MN,attorney general,D,Lori,Swanson,11/6/18
MO,attorney general,R,Josh,Hawley,11/3/20
MS,attorney general,D,Jim,Hood,11/5/19
MT,attorney general,R,Tim,Fox,11/3/20
NC,attorney general,D,Josh,Stein,11/3/20
ND,attorney general,R,Wayne,Stenehjem,11/6/18
NE,attorney general,R,Doug,Peterson,11/6/18
NM,attorney general,D,Hector,Balderas,11/6/18
NV,attorney general,R,Adam,Laxalt,11/6/18
NY,attorney general,D,Eric,Schneiderman,11/6/18
OH,attorney general,R,Mike,DeWine,11/6/18
OK,attorney general,U,Mike,Hunter,11/6/18
OR,attorney general,D,Ellen,Rosenblum,11/3/20
PA,attorney general,D,Josh,Shapiro,11/3/20
RI,attorney general,D,Peter,Kilmartin,11/6/18
SC,attorney general,R,Alan,Wilson,11/6/18
SD,attorney general,R,Marty,Jackley,11/6/18
TX,attorney general,R,Ken,Paxton,11/6/18
UT,attorney general,R,Sean,Reyes,11/3/20
VA,attorney general,D,Mark,Herring,11/2/21
VT,attorney general,D,T.J.,Donovan,11/6/18
WA,attorney general,D,Bob,Ferguson,11/3/20
WI,attorney general,R,Brad,Schimel,11/6/18
WV,attorney general,R,Patrick,Morrisey,11/3/20
MA,auditor of the commonwealth,D,Suzanne,Bump,11/6/18
AK,governor,I,Bill,Walker,11/6/18
AL,governor,R,Kay,Ivey,11/6/18
AR,governor,R,Asa,Hutchinson,11/6/18
AZ,governor,R,Doug,Ducey,11/6/18
CA,governor,D,Jerry,Brown,11/6/18
CO,governor,D,John,Hickenlooper,11/6/18
CT,governor,D,Dan,Malloy,11/6/18
DE,governor,D,John,Carney,11/3/20
FL,governor,R,Rick,Scott,11/6/18
GA,governor,R,Nathan,Deal,11/6/18
HI,governor,D,David,Ige,11/6/18
IA,governor,R,Kim,Reynolds,11/6/18
ID,governor,R,C.L. “Butch”,Otter,11/6/18
IL,governor,R,Bruce,Rauner,11/6/18
IN,governor,R,Eric,Holcomb,11/3/20
KS,governor,R,Jeff,Colyer,11/6/18
KY,governor,R,Matt,Bevin,11/5/19
LA,governor,D,John,Bel Edwards,10/12/19
MA,governor,R,Charlie,Baker,11/6/18
MD,governor,R,Larry,Hogan,11/6/18
ME,governor,R,Paul,LePage,11/6/18
MI,governor,R,Rick,Snyder,11/6/18
MN,governor,D,Mark,Dayton,11/6/18
MO,governor,R,Eric,Greitens,11/3/20
MS,governor,R,Phil,Bryant,11/5/19
MT,governor,D,Steve,Bullock,11/3/20
NC,governor,D,Roy,Cooper,11/3/20
ND,governor,R,Doug,Burgum,11/3/20
NE,governor,R,Pete,Ricketts,11/6/18
NH,governor,R,Chris,Sununu,11/6/18
NJ,governor,D,Phil,Murphy,11/2/21
NM,governor,R,Susana,Martinez,11/6/18
NV,governor,R,Brian,Sandoval,11/6/18
