unique_id,geoid,state_code,district,party,first_name,last_name,speaker,majority_leader,minority_leader,majority_whip,minority_whip,next_election
AL1,1001,AL,1,R,Bradley,Byrne,0,0,0,0,0,11/6/18
AL2,1002,AL,2,R,Martha,Roby,0,0,0,0,0,11/6/18
AL3,1003,AL,3,R,Mike,Rogers,0,0,0,0,0,11/6/18
AL4,1004,AL,4,R,Robert,Aderholt,0,0,0,0,0,11/6/18
AL5,1005,AL,5,R,Mo,Brooks,0,0,0,0,0,11/6/18
AL6,1006,AL,6,R,Gary,Palmer,0,0,0,0,0,11/6/18
AL7,1007,AL,7,D,Terri A.,Sewell,0,0,0,0,0,11/6/18
AKAL,2001,AK,AL,R,Don,Young,0,0,0,0,0,11/6/18
AZ1,4001,AZ,1,D,Tom,O'Halleran,0,0,0,0,0,11/6/18
AZ2,4002,AZ,2,R,Martha,McSally,0,0,0,0,0,11/6/18
AZ3,4003,AZ,3,D,Raul,Grijalva,0,0,0,0,0,11/6/18
AZ4,4004,AZ,4,R,Paul A.,Gosar,0,0,0,0,0,11/6/18
AZ5,4005,AZ,5,R,Andy,Biggs,0,0,0,0,0,11/6/18
AZ6,4006,AZ,6,R,David,Schweikert,0,0,0,0,0,11/6/18
AZ7,4007,AZ,7,D,Ruben,Gallego,0,0,0,0,0,11/6/18
AZ8,4008,AZ,8,,VACANT,,0,0,0,0,0,4/24/18
AZ9,4009,AZ,9,D,Kyrsten,Sinema,0,0,0,0,0,11/6/18
AR1,5001,AR,1,R,Rick,Crawford,0,0,0,0,0,11/6/18
AR2,5002,AR,2,R,French,Hill,0,0,0,0,0,11/6/18
AR3,5003,AR,3,R,Steve,Womack,0,0,0,0,0,11/6/18
AR4,5004,AR,4,R,Bruce,Westerman,0,0,0,0,0,11/6/18
CA1,6001,CA,1,R,Doug,LaMalfa,0,0,0,0,0,11/6/18
CA2,6002,CA,2,D,Jared,Huffman,0,0,0,0,0,11/6/18
CA3,6003,CA,3,D,John,Garamendi,0,0,0,0,0,11/6/18
CA4,6004,CA,4,R,Tom,McClintock,0,0,0,0,0,11/6/18
CA5,6005,CA,5,D,Mike,Thompson,0,0,0,0,0,11/6/18
CA6,6006,CA,6,D,Doris O.,Matsui,0,0,0,0,0,11/6/18
CA7,6007,CA,7,D,Ami,Bera,0,0,0,0,0,11/6/18
CA8,6008,CA,8,R,Paul,Cook,0,0,0,0,0,11/6/18
CA9,6009,CA,9,D,Jerry,McNerney,0,0,0,0,0,11/6/18
CA10,6010,CA,10,R,Jeff,Denham,0,0,0,0,0,11/6/18
CA11,6011,CA,11,D,Mark,DeSaulnier,0,0,0,0,0,11/6/18
CA12,6012,CA,12,D,Nancy,Pelosi,0,0,1,0,0,11/6/18
CA13,6013,CA,13,D,Barbara,Lee,0,0,0,0,0,11/6/18
CA14,6014,CA,14,D,Jackie,Speier,0,0,0,0,0,11/6/18
CA15,6015,CA,15,D,Eric,Swalwell,0,0,0,0,0,11/6/18
CA16,6016,CA,16,D,Jim,Costa,0,0,0,0,0,11/6/18
CA17,6017,CA,17,D,Ro,Khanna,0,0,0,0,0,11/6/18
CA18,6018,CA,18,D,Anna G.,Eshoo,0,0,0,0,0,11/6/18
CA19,6019,CA,19,D,Zoe,Lofgren,0,0,0,0,0,11/6/18
CA20,6020,CA,20,D,Jimmy,Panetta,0,0,0,0,0,11/6/18
CA21,6021,CA,21,R,David,Valadao,0,0,0,0,0,11/6/18
CA22,6022,CA,22,R,Devin,Nunes,0,0,0,0,0,11/6/18
CA23,6023,CA,23,R,Kevin,McCarthy,0,1,0,0,0,11/6/18
CA24,6024,CA,24,D,Salud,Carbajal,0,0,0,0,0,11/6/18
CA25,6025,CA,25,R,Steve,Knight,0,0,0,0,0,11/6/18
CA26,6026,CA,26,D,Julia,Brownley,0,0,0,0,0,11/6/18
CA27,6027,CA,27,D,Judy,Chu,0,0,0,0,0,11/6/18
CA28,6028,CA,28,D,Adam,Schiff,0,0,0,0,0,11/6/18
CA29,6029,CA,29,D,Tony,Cárdenas,0,0,0,0,0,11/6/18
CA30,6030,CA,30,D,Brad,Sherman,0,0,0,0,0,11/6/18
CA31,6031,CA,31,D,Pete,Aguilar,0,0,0,0,0,11/6/18
CA32,6032,CA,32,D,Grace,Napolitano,0,0,0,0,0,11/6/18
CA33,6033,CA,33,D,Ted,Lieu,0,0,0,0,0,11/6/18
CA34,6034,CA,34,D,Jimmy,Gomez,0,0,0,0,0,11/6/18
CA35,6035,CA,35,D,Norma,Torres,0,0,0,0,0,11/6/18
CA36,6036,CA,36,D,Raul,Ruiz,0,0,0,0,0,11/6/18
CA37,6037,CA,37,D,Karen,Bass,0,0,0,0,0,11/6/18
CA38,6038,CA,38,D,Linda,Sánchez,0,0,0,0,0,11/6/18
CA39,6039,CA,39,R,Ed,Royce,0,0,0,0,0,11/6/18
CA40,6040,CA,40,D,Lucille,Roybal-Allard,0,0,0,0,0,11/6/18
CA41,6041,CA,41,D,Mark,Takano,0,0,0,0,0,11/6/18
CA42,6042,CA,42,R,Ken,Calvert,0,0,0,0,0,11/6/18
CA43,6043,CA,43,D,Maxine,Waters,0,0,0,0,0,11/6/18
CA44,6044,CA,44,D,Nanette,Barragán,0,0,0,0,0,11/6/18
CA45,6045,CA,45,R,Mimi,Walters,0,0,0,0,0,11/6/18
CA46,6046,CA,46,D,J. Luis,Correa,0,0,0,0,0,11/6/18
CA47,6047,CA,47,D,Alan,Lowenthal,0,0,0,0,0,11/6/18
CA48,6048,CA,48,R,Dana,Rohrabacher,0,0,0,0,0,11/6/18
CA49,6049,CA,49,R,Darrell,Issa,0,0,0,0,0,11/6/18
CA50,6050,CA,50,R,Duncan D.,Hunter,0,0,0,0,0,11/6/18
CA51,6051,CA,51,D,Juan,Vargas,0,0,0,0,0,11/6/18
CA52,6052,CA,52,D,Scott,Peters,0,0,0,0,0,11/6/18
CA53,6053,CA,53,D,Susan,Davis,0,0,0,0,0,11/6/18
CO1,8001,CO,1,D,Diana,DeGette,0,0,0,0,0,11/6/18
CO2,8002,CO,2,D,Jared,Polis,0,0,0,0,0,11/6/18
CO3,8003,CO,3,R,Scott,Tipton,0,0,0,0,0,11/6/18
CO4,8004,CO,4,R,Ken,Buck,0,0,0,0,0,11/6/18
CO5,8005,CO,5,R,Doug,Lamborn,0,0,0,0,0,11/6/18
CO6,8006,CO,6,R,Mike,Coffman,0,0,0,0,0,11/6/18
CO7,8007,CO,7,D,Ed,Perlmutter,0,0,0,0,0,11/6/18
CT1,9001,CT,1,D,John B.,Larson,0,0,0,0,0,11/6/18
CT2,9002,CT,2,D,Joe,Courtney,0,0,0,0,0,11/6/18
CT3,9003,CT,3,D,Rosa L.,DeLauro,0,0,0,0,0,11/6/18
CT4,9004,CT,4,D,Jim,Himes,0,0,0,0,0,11/6/18
CT5,9005,CT,5,D,Elizabeth,Esty,0,0,0,0,0,11/6/18
DEAL,10001,DE,AL,D,Lisa,Blunt Rochester,0,0,0,0,0,11/6/18
FL1,12001,FL,1,R,Matt,Gaetz,0,0,0,0,0,11/6/18
FL2,12002,FL,2,R,Neal,Dunn,0,0,0,0,0,11/6/18
FL3,12003,FL,3,R,Ted,Yoho,0,0,0,0,0,11/6/18
FL4,12004,FL,4,R,John,Rutherford,0,0,0,0,0,11/6/18
FL5,12005,FL,5,D,Al,Lawson,0,0,0,0,0,11/6/18
FL6,12006,FL,6,R,Ron,DeSantis,0,0,0,0,0,11/6/18
FL7,12007,FL,7,D,Stephanie,Murphy,0,0,0,0,0,11/6/18
FL8,12008,FL,8,R,Bill,Posey,0,0,0,0,0,11/6/18
FL9,12009,FL,9,D,Darren,Soto,0,0,0,0,0,11/6/18
FL10,12010,FL,10,D,Val,Demings,0,0,0,0,0,11/6/18
FL11,12011,FL,11,R,Daniel,Webster,0,0,0,0,0,11/6/18
FL12,12012,FL,12,R,Gus M.,Bilirakis,0,0,0,0,0,11/6/18
FL13,12013,FL,13,D,Charlie,Crist,0,0,0,0,0,11/6/18
FL14,12014,FL,14,D,Kathy,Castor,0,0,0,0,0,11/6/18
FL15,12015,FL,15,R,Dennis,Ross,0,0,0,0,0,11/6/18
FL16,12016,FL,16,R,Vern,Buchanan,0,0,0,0,0,11/6/18
FL17,12017,FL,17,R,Tom,Rooney,0,0,0,0,0,11/6/18
FL18,12018,FL,18,R,Brian,Mast,0,0,0,0,0,11/6/18
FL19,12019,FL,19,R,Francis,Rooney,0,0,0,0,0,11/6/18
FL20,12020,FL,20,D,Alcee L.,Hastings,0,0,0,0,0,11/6/18
FL21,12021,FL,21,D,Lois,Frankel,0,0,0,0,0,11/6/18
FL22,12022,FL,22,D,Ted,Deutch,0,0,0,0,0,11/6/18
FL23,12023,FL,23,D,Debbie,Wasserman Schultz,0,0,0,0,0,11/6/18
FL24,12024,FL,24,D,Frederica,Wilson,0,0,0,0,0,11/6/18
FL25,12025,FL,25,R,Mario,Diaz-Balart,0,0,0,0,0,11/6/18
FL26,12026,FL,26,R,Carlos,Curbelo,0,0,0,0,0,11/6/18
FL27,12027,FL,27,R,Ileana,Ros-Lehtinen,0,0,0,0,0,11/6/18
GA1,13001,GA,1,R,Buddy,Carter,0,0,0,0,0,11/6/18
GA2,13002,GA,2,D,Sanford D.,Bishop Jr.,0,0,0,0,0,11/6/18
GA3,13003,GA,3,R,A. Drew,Ferguson,0,0,0,0,0,11/6/18
GA4,13004,GA,4,D,"Henry C. ""Hank"" Jr.",Johnson,0,0,0,0,0,11/6/18
GA5,13005,GA,5,D,John,Lewis,0,0,0,0,0,11/6/18
GA6,13006,GA,6,R,Karen C.,Handel,0,0,0,0,0,11/6/18
GA7,13007,GA,7,R,Robert,Woodall,0,0,0,0,0,11/6/18
GA8,13008,GA,8,R,Austin,Scott,0,0,0,0,0,11/6/18
GA9,13009,GA,9,R,Doug,Collins,0,0,0,0,0,11/6/18
GA10,13010,GA,10,R,Jody,Hice,0,0,0,0,0,11/6/18
GA11,13011,GA,11,R,Barry,Loudermilk,0,0,0,0,0,11/6/18
GA12,13012,GA,12,R,Rick,Allen,0,0,0,0,0,11/6/18
GA13,13013,GA,13,D,David,Scott,0,0,0,0,0,11/6/18
GA14,13014,GA,14,R,Tom,Graves,0,0,0,0,0,11/6/18
HI1,15001,HI,1,D,Colleen,Hanabusa,0,0,0,0,0,11/6/18
HI2,15002,HI,2,D,Tulsi,Gabbard,0,0,0,0,0,11/6/18
ID1,16001,ID,1,R,Raul R.,Labrador,0,0,0,0,0,11/6/18
ID2,16002,ID,2,R,Mike,Simpson,0,0,0,0,0,11/6/18
IL1,17001,IL,1,D,Bobby L.,Rush,0,0,0,0,0,11/6/18
IL2,17002,IL,2,D,Robin,Kelly,0,0,0,0,0,11/6/18
IL3,17003,IL,3,D,Daniel,Lipinski,0,0,0,0,0,11/6/18
IL4,17004,IL,4,D,Luis,Gutierrez,0,0,0,0,0,11/6/18
IL5,17005,IL,5,D,Mike,Quigley,0,0,0,0,0,11/6/18
IL6,17006,IL,6,R,Peter J.,Roskam,0,0,0,0,0,11/6/18
IL7,17007,IL,7,D,Danny K.,Davis,0,0,0,0,0,11/6/18
IL8,17008,IL,8,D,Raja,Krishnamoorthi,0,0,0,0,0,11/6/18
IL9,17009,IL,9,D,Jan,Schakowsky,0,0,0,0,0,11/6/18
IL10,17010,IL,10,D,Bradley,Schneider,0,0,0,0,0,11/6/18
IL11,17011,IL,11,D,Bill,Foster,0,0,0,0,0,11/6/18
IL12,17012,IL,12,R,Mike,Bost,0,0,0,0,0,11/6/18
IL13,17013,IL,13,R,Rodney,Davis,0,0,0,0,0,11/6/18
IL14,17014,IL,14,R,Randy,Hultgren,0,0,0,0,0,11/6/18
IL15,17015,IL,15,R,John,Shimkus,0,0,0,0,0,11/6/18
IL16,17016,IL,16,R,Adam,Kinzinger,0,0,0,0,0,11/6/18
IL17,17017,IL,17,D,Cheri,Bustos,0,0,0,0,0,11/6/18
IL18,17018,IL,18,R,Darin,LaHood,0,0,0,0,0,11/6/18
IN1,18001,IN,1,D,Peter,Visclosky,0,0,0,0,0,11/6/18
IN2,18002,IN,2,R,Jackie,Walorski,0,0,0,0,0,11/6/18
IN3,18003,IN,3,R,Jim,Banks,0,0,0,0,0,11/6/18
IN4,18004,IN,4,R,Todd,Rokita,0,0,0,0,0,11/6/18
IN5,18005,IN,5,R,Susan W.,Brooks,0,0,0,0,0,11/6/18
IN6,18006,IN,6,R,Luke,Messer,0,0,0,0,0,11/6/18
IN7,18007,IN,7,D,André,Carson,0,0,0,0,0,11/6/18
IN8,18008,IN,8,R,Larry,Bucshon,0,0,0,0,0,11/6/18
IN9,18009,IN,9,R,Trey,Hollingsworth,0,0,0,0,0,11/6/18
IA1,19001,IA,1,R,Rod,Blum,0,0,0,0,0,11/6/18
IA2,19002,IA,2,D,David,Loebsack,0,0,0,0,0,11/6/18
IA3,19003,IA,3,R,David,Young,0,0,0,0,0,11/6/18
IA4,19004,IA,4,R,Steve,King,0,0,0,0,0,11/6/18
