state_code,district_type,district,special_g2018_state_election_date,special_g2018_state_runoff_election_date,notes
MN,upper,54,2018-02-12,,
MN,lower,23B,2018-02-12,,
FL,lower,72,2018-02-13,,
GA,lower,175,2018-02-13,,
OK,upper,27,2018-02-13,,
LA,lower,86,2018-03-24,,
KY,lower,49,2018-02-20,,
MS,lower,60,2018-02-20,,
CT,lower,120,2018-02-27,,
KY,lower,89,2018-02-27,,
NH,lower,Belknap 3,2018-02-27,,
MA,upper,3rd Essex,2018-03-06,,
OK,lower,51,2018-03-06,,
TN,upper,14,2018-03-13,,
LA,lower,93,2018-04-28,,
AL,lower,21,2018-03-27,,
MA,upper,2nd Bristol,2018-04-03,,
FL,upper,31,2018-04-10,,
FL,lower,39,2018-05-01,,
FL,lower,114,2018-05-01,,
MA,upper,1st Suffolk,2018-05-01,,
SC,lower,69,2018-05-01,,
AL,lower,4,2018-05-15,,
AL,upper,26,2018-05-15,,
PA,lower,48,2018-05-15,,
PA,lower,178,2018-05-15,,
AR,upper,16,2018-05-22,,
AR,upper,29,2018-05-22,,
AR,lower,83,2018-05-22,,
CA,lower,39,2018-06-05,,
CA,lower,45,2018-06-05,,
CA,lower,54,2018-06-05,,
