state_code,district_type,district,special_p2018_state_election_date,special_p2018_state_runoff_election_date,dem_election_type,rep_election_type,notes
MN,upper,54,2018-01-29,,,,
MN,lower,23B,2018-01-29,,,,
FL,lower,72,2017-12-05,,,,
GA,lower,175,,,,,
OK,upper,27,2017-12-02,,,,
LA,lower,86,2018-02-17,,jungle,jungle,
KY,lower,49,,,,,
MS,lower,60,2018-02-20,,,,
CT,lower,120,,,,,"The Democratic Town Committee nominated Philip Young to run in the race, and the Republican Town Committee nominated Bill Cabral."
KY,lower,89,,,,,
NH,lower,Belknap 3,2018-01-09,,,,
MA,upper,3rd Essex,2018-02-06,,,,
OK,lower,51,2018-01-09,,,,
TN,upper,14,2018-01-25,,,,
LA,lower,93,2018-03-24,,jungle,jungle,
AL,lower,21,,,,,"Originally, the special election was called for June 12, 2018, with a special primary election on January 9, 2018, and a special primary runoff election on March 27, 2018. The dates changed when only two candidates—one Democrat and one Republican—filed to run, making the special primary and the special primary runoff unnecessary."
MA,upper,2nd Bristol,2018-03-06,,,,
FL,upper,31,2018-01-30,,,,
FL,lower,39,2018-02-20,,,,
FL,lower,114,2018-02-20,,,,
MA,upper,1st Suffolk,2018-04-03,,,,
SC,lower,69,2018-02-27,,,,
AL,lower,4,2017-12-12,2018-02-27,,,
AL,upper,26,2017-12-12,2018-02-27,,,
PA,lower,48,,,,,Candidates running for special elections in Pennsylvania are selected by their respective political parties.
PA,lower,178,,,,,Candidates running for special elections in Pennsylvania are selected by their respective political parties.
AR,upper,16,2018-02-13,2018-03-13,,,
AR,upper,29,2018-02-13,2018-03-13,,,
AR,lower,83,2018-02-13,2018-03-13,,,
CA,lower,39,2018-04-03,,jungle,jungle,
CA,lower,45,2018-04-03,,jungle,jungle,
CA,lower,54,2018-04-03,,jungle,jungle,
